agency,name,lat,lon
BART,12th Street / Oakland City Center,37.803482,-122.27163
BART,16th Street / Mission,37.765173,-122.419704
BART,19th Street Oakland,37.808078,-122.268758
BART,24th Street / Mission,37.752419,-122.418468
BART,Antioch,37.995373,-121.780346
BART,Ashby,37.853072,-122.269771
BART,Balboa Park,37.721747,-122.447457
BART,Bay Fair,37.696908,-122.126446
BART,Berryessa / North San Jose,37.368473,-121.874681
BART,Castro Valley,37.690737,-122.075601
BART,Civic Center / UN Plaza,37.779408,-122.413826
BART,Coliseum,37.753576,-122.196716
BART,Colma,37.684635,-122.466157
BART,Concord,37.973757,-122.029072
BART,Daly City,37.706259,-122.468908
BART,Downtown Berkeley,37.87011,-122.268109
BART,Dublin / Pleasanton,37.701646,-121.899229
BART,El Cerrito Del Norte,37.925184,-122.316892
BART,El Cerrito Plaza,37.90261,-122.29892
BART,Embarcadero,37.792762,-122.397037
BART,Fremont,37.55748,-121.976619
BART,Fruitvale,37.774841,-122.224081
BART,Glen Park,37.733235,-122.433515
BART,Hayward,37.669699,-122.086958
BART,Lafayette,37.893183,-122.12462
BART,Lake Merritt,37.797322,-122.265247
BART,MacArthur,37.828803,-122.267105
BART,Millbrae,37.600237,-122.386757
BART,Milpitas,37.410277,-121.891081
BART,Montgomery Street,37.789173,-122.401587
BART,North Berkeley,37.874005,-122.283523
BART,North Concord / Martinez,38.003383,-122.024512
BART,Oakland International Airport,37.713256,-122.212237
BART,Orinda,37.878481,-122.183667
BART,Pittsburg / Bay Point,38.01891,-121.944236
BART,Pittsburg Center,38.016847,-121.889062
BART,Pleasant Hill / Contra Costa Centre,37.928434,-122.055971
BART,Powell Street,37.784606,-122.407331
BART,Richmond,37.936758,-122.353047
BART,Rockridge,37.844755,-122.251235
BART,San Bruno,37.63773,-122.416326
BART,San Francisco International Airport,37.616091,-122.391954
BART,San Leandro,37.721784,-122.16074
BART,South Hayward,37.63434,-122.057182
BART,South San Francisco,37.664462,-122.444211
BART,Union City,37.590735,-122.017248
BART,Walnut Creek,37.905791,-122.067327
BART,Warm Springs / South Fremont,37.502285,-121.939395
BART,West Dublin / Pleasanton,37.699721,-121.928277
BART,West Oakland,37.804888,-122.295151
Caltrain,22nd Street Station,37.756972,-122.392492
Caltrain,Bayshore Station,37.70766,-122.401665
Caltrain,Belmont Station,37.52133,-122.2763
Caltrain,Blossom Hill Caltrain Station,37.252606,-121.797907
Caltrain,Broadway Station,37.58726,-122.362
Caltrain,Burlingame Station,37.57985,-122.34418
Caltrain,California Avenue Station,37.428834,-122.14113
Caltrain,Capitol Caltrain Station,37.284016,-121.841899
Caltrain,College Park Station,37.34289,-121.91565
Caltrain,Gilroy Station,37.004466,-121.566727
Caltrain,Hayward Park Station,37.553161,-122.309494
Caltrain,Hillsdale Station,37.542392678,-122.301612061
Caltrain,Lawrence Station,37.3707,-121.9969
Caltrain,Menlo Park Station,37.4548,-122.18245
Caltrain,Millbrae,37.5999,-122.38675
Caltrain,Morgan Hill Station,37.129644,-121.650558
Caltrain,Mountain View Station,37.395067,-122.07722
Caltrain,Palo Alto Station,37.44322,-122.16429
Caltrain,Redwood City Station,37.485865,-122.2315
Caltrain,San Antonio Station,37.407239431,-122.107115562
Caltrain,San Bruno Caltrain Station,37.630460335,-122.411709042
Caltrain,San Carlos Station,37.508033,-122.2602
Caltrain,San Francisco Caltrain Station,37.776404,-122.394911
Caltrain,San Jose Diridon Station,37.329694,-121.903208
Caltrain,San Martin Station,37.085984,-121.61048
Caltrain,San Mateo Station,37.56824,-122.3239
Caltrain,Santa Clara Caltrain Station,37.353384,-121.936465
Caltrain,South San Francisco Caltrain Station,37.655941416,-122.404979006
Caltrain,Stanford Station,37.43895,-122.15715
Caltrain,Sunnyvale Station,37.378934,-122.0315
Caltrain,Tamien Caltrain Station,37.31269,-121.8847
